i10-index,location_city,# of Pubs,location_state,location_latitude,H-index (m),H-index (recent),location_longitude,G-index (recent),H-index,location_zip,location_street,i10-index (recent),# of Pubs (recent),Cited by (recent),Organization,G-index,Cited by
3,Washington,12,DC,38.898650,0.5,2,-77.047871,5,4,20052,"2121 I Street, NW",1,9,23,George Washington University,10,92
0,North Dartmouth,1,MA,41.628861,1,0,-71.005528,0,1,02747-2300,285 Old Westport Rd,0,0,0,"University of Massachusetts, Dartmouth",1,2
2,Fort Wayne,5,IN,41.115418,1.333,4,-85.111747,5,4,46805-1499,2101 E Coliseum Blvd,2,5,37,Indiana University-Purdue University Fort Wayne,5,37
2,Meadville,2,PA,41.648068,0.222,1,-80.146922,1,2,16335-3902,520 N Main St,1,1,14,Allegheny College,2,57
10,East Lansing,24,MI,42.732120,2,10,-84.476111,21,10,48824-1046, ,10,24,435,Michigan State University,21,435
2,Cincinnati,2,OH,39.131159,0.667,1,-84.514280,1,2,45221-0063,2624 Clifton Avenue,1,1,87,University of Cincinnati,2,97
0,Utica,3,NY,43.095183,0.667,1,-75.272407,2,2,13502-4892,1600 Burrstone Rd,0,2,2,Utica College,3,5
0,,1,,,0,0,,0,0,,,0,1,0,"Wadsworth Center, New York State Department of Health",0,0
1,,2,,,0.333,1,,2,1,,,1,2,10,Armstrong Atlantic State University,2,10
0,,1,,,1,1,,1,1,,,0,1,1,University of Science and Technology of China,1,1
1,Manhattan,2,KS,39.188616,0.333,1,-96.581077,2,1,66506,Anderson Hall,1,2,15,Kansas State University,2,15
1,,2,,,2,2,,2,2,,,1,2,19,Chosun University,2,19
1,,2,,,0.167,1,,1,1,,,0,1,1,ETH Zurich,2,37
2,San Juan,2,PR,18.403027,0.667,2,-66.045875,2,2,00931-0000,39 Ponce de Leon  Ave,2,2,52,"University of Puerto Rico, Rio Piedras",2,52
0,Stanford,1,CA,37.426967,1,1,-122.168826,1,1,94305, ,0,1,4,Stanford University School of Medicine,1,4
0,,1,,,1,1,,1,1,,,0,1,2,Center for Ocean-Land-Atmosphere Studies,1,2
1,San Luis Obispo,1,CA,35.298890,1,1,-120.658560,1,1,93407,1 Grand Ave.,1,1,13,"California Polytechnic State University, San Luis Obispo",1,13
8,Evanston,16,IL,42.058377,0.818,8,-87.673653,14,9,60208,633 Clark St,7,15,194,Northwestern University,16,237
1,,1,,,1,0,,0,1,,,0,0,0,Ecole Normale Superieure De Lyon,1,101
0,Bowling Green,3,OH,41.377036,1,2,-83.637531,3,2,43403,220 McFall Ctr,0,3,13,Bowling Green State University,3,13
0,,1,,,1,1,,1,1,,,0,1,1,Nationwide Childrens Hospital Research Institute,1,1
7,Riverside,16,CA,33.975880,1.75,7,-117.331098,16,7,92521,900 University Ave,7,16,239,"University of California, Riverside",16,239
0,Ann Arbor,1,MI,42.276061,1,1,-83.743121,1,1,48109,503 Thompson Street,0,1,5,"University of Michigan, Ann Arbor",1,5
2,San Francisco,2,CA,37.721345,2,0,-122.477905,0,2,94132,1600 Holloway Ave,0,0,0,San Francisco State University,2,35
0,Murfreesboro,1,TN,35.849139,1,1,-86.362094,1,1,37132,1301 East Main Street,0,1,9,Middle Tennessee State University,1,9
