Organization,num_pubs,# of Pubs (recent),Cited by,Cited by (recent),H-index,H-index (recent),H-index (m),G-index,G-index (recent),i10-index,i10-index (recent),lat,lon
University of Pennsylvania,20,19,77,70,5,4,0.714,9,9,3,3,,
Virginia Commonwealth University,11,10,79,55,5,4,0.833,9,8,3,2,,
Temple University,10,8,98,80,6,5,0.857,10,8,4,3,,
"Q-Chem, Inc.",1,1,251,251,1,1,1,1,1,1,1,,
Goethe University Frankfurt,2,2,9,9,2,2,0.667,2,2,0,0,,
CUNY Brooklyn College,7,6,131,32,4,3,0.333,7,6,2,1,,
Texas Tech University,3,3,6,6,1,1,0.333,3,3,0,0,,
University of Wuppertal,2,2,0,0,0,0,0,0,0,0,0,,
Yeshiva University,1,1,0,0,0,0,0,0,0,0,0,,
Southern University and A&M College,1,1,0,0,0,0,0,0,0,0,0,,
University of Wisconsin-Eau Claire,2,2,12,12,2,2,0.667,2,2,0,0,,
"University of California, Merced",8,8,31,31,4,4,0.8,6,6,0,0,,
Kwangwoon University,1,1,13,13,1,1,1,1,1,1,1,,
Kasetsart University,1,1,1,1,1,1,1,1,1,0,0,,
New Mexico Institute of Mining and Technology,2,2,5,5,1,1,0.25,2,2,0,0,,
"Pennsylvania State University, Mont Alto",1,1,0,0,0,0,0,0,0,0,0,,
Ohio State University,20,18,182,22,4,2,0.444,14,5,3,1,,
"University of California, San Diego",104,83,2006,1126,24,18,2,44,33,40,25,,
Boise State University,1,1,6,6,1,1,1,1,1,0,0,,
University of Granada,1,1,6,6,1,1,1,1,1,0,0,,
American Physical Society,1,0,416,0,1,0,1,1,0,1,0,,
Johns Hopkins University School of Medicine,1,1,0,0,0,0,0,0,0,0,0,,
Institute for Research in Computer Science and Automation,2,2,30,30,2,2,2,2,2,2,2,,
American Museum of Natural History,9,7,139,66,6,4,0.5,9,7,4,2,,
University of Akron,5,5,54,54,4,4,1.333,5,5,2,2,,
Georgetown University,5,5,23,23,3,3,1.5,5,5,1,1,,
University of Montana,1,1,1,1,1,1,1,1,1,0,0,,
RIKEN,1,1,0,0,0,0,0,0,0,0,0,,
University of the Balearic Islands,2,2,88,88,2,2,1,2,2,2,2,,
Indian Institute of Science,1,1,0,0,0,0,0,0,0,0,0,,
Pennsylvania State University,52,49,512,369,13,12,1.625,22,18,18,15,,
California State University-Los Angeles,3,2,106,12,2,1,0.182,3,2,2,1,,
Scripps Institution of Oceanography,10,8,68,30,4,4,0.5,9,6,2,1,,
Georgia State University,7,7,6,6,1,1,0.25,3,3,0,0,,
California State University-Fullerton,5,5,132,132,3,3,0.6,5,5,3,3,,
The University of Texas MD Anderson Cancer Center,2,2,12,12,2,2,1,2,2,1,1,,
Rochester Institute of Technology,21,15,308,173,9,6,1.5,18,14,9,5,,
University of Nevada-Las Vegas,2,2,74,74,2,2,1,2,2,2,2,,
University of Edinburgh,1,1,2,2,1,1,1,1,1,0,0,,
University of Vermont,7,7,13,13,2,2,0.4,4,4,0,0,,
UCSF,2,2,26,26,2,2,0.667,2,2,1,1,,
University of Oxford,2,2,6,6,2,2,2,2,2,0,0,,
Queen's University Belfast,1,0,0,0,0,0,0,0,0,0,0,,
North Dakota State University,4,4,2,2,1,1,0.333,2,2,0,0,,
Rockefeller University,1,1,10,10,1,1,1,1,1,1,1,,
Stanford University,52,41,1111,377,15,11,1.364,34,19,21,12,,
ISU,1,1,2,2,1,1,1,1,1,0,0,,
SUNY College of Environmental Science and Forestry,2,2,10,10,2,2,0.5,2,2,0,0,,
Northwestern Polytechnical University,1,1,6,6,1,1,1,1,1,0,0,,
"University of California, Berkeley",67,62,1107,964,16,15,2,33,31,26,22,,
University of Texas at Dallas,1,1,10,10,1,1,1,1,1,1,1,,
University of Utah School of Medicine,1,1,4,4,1,1,1,1,1,0,0,,
"Institute for Research in Biomedicine, Barcelona",1,1,13,13,1,1,1,1,1,1,1,,
"University of Michigan, Dearborn",7,6,255,10,3,2,0.231,7,4,1,0,,
High Energy Accelerator Research Organization,1,1,0,0,0,0,0,0,0,0,0,,
US Army,2,2,4,4,1,1,1,2,2,0,0,,
University of Leoben,1,1,8,8,1,1,1,1,1,0,0,,
Coastal Carolina University,2,2,0,0,0,0,0,0,0,0,0,,
Siena College,1,1,6,6,1,1,1,1,1,0,0,,
Los Alamos National Laboratory,7,3,539,42,5,1,0.625,7,3,5,1,,
Lamar University,4,4,8,8,2,2,0.667,3,3,0,0,,
